   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 315,         25215,           24905,           5426,      4315,         814,        742,      2222,           0,        669,         49770,             307,           4441,      49455,        24905,        7611
 316,         25412,           25101,           5356,      4077,         847,        699,      2231,           0,        657,         50086,             309,           4653,      49770,        25101,        7281
 317,         25450,           25138,           5479,      3569,         868,        694,      2235,           0,        785,         50403,             310,           4387,      50086,        25138,        7364
 318,         25563,           25250,           5403,      3477,         850,        632,      2247,           0,        658,         50721,             314,           4427,      50403,        25250,        7364
 319,         25664,           25350,           5415,      3875,         854,        683,      2262,           0,        662,         51040,             314,           4446,      50721,        25350,        7416
 320,         25723,           25408,           5415,      3781,         863,        683,      2264,           0,        663,         51360,             310,           4467,      51040,        25408,        7442
 321,         25726,           25410,           5433,      3640,         876,        662,      2273,           0,        678,         51681,             310,           4498,      51360,        25410,        7481
 322,         25838,           25521,           5457,      3671,         875,        663,      2284,           0,        674,         52003,             315,           4556,      51681,        25521,        7508
 323,         26112,           25794,           5478,      3975,         870,        694,      2293,           0,        672,         52326,             316,           4561,      52003,        25794,        7569
 324,         26117,           25798,           5480,      3829,         878,        680,      2307,           0,        674,         52650,             318,           4599,      52326,        25798,        7683
 325,         26323,           26003,           5634,      3893,         874,        689,      2320,           0,        675,         52975,             319,           4624,      52650,        26003,        7663
